ID,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
가평,8,0,0,0,0.0
강릉,15,5,0,2,0.29411764705882354
강진,1,0,0,0,0.0
거제,7,5,0,0,0.7142857142857143
거창,1,0,0,1,0.0
경기,2,2,0,0,1.0
경산,9,8,0,3,0.6666666666666666
경주,25,8,2,2,0.37037037037037035
계룡,1,1,0,0,1.0
고령,1,1,0,0,1.0
고성(강원),1,2,0,0,2.0
고성(경남),1,0,0,2,0.0
고양 덕양,22,20,1,4,0.8076923076923077
고양 일산동,14,16,5,2,1.3125
고양 일산서,12,16,5,1,1.6153846153846154
고창,1,0,0,0,0.0
고흥,3,0,0,0,0.0
곡성,1,0,0,0,0.0
공주,5,2,0,1,0.3333333333333333
과천,1,4,0,1,2.0
광명,10,11,0,2,0.9166666666666666
광양,9,2,0,1,0.2
광주,15,5,0,3,0.2777777777777778
광주 광산,17,16,0,2,0.8421052631578947
광주 남구,7,11,2,1,1.625
광주 동구,4,9,1,3,1.4285714285714286
광주 북구,10,14,0,2,1.1666666666666667
광주 서구,10,15,1,2,1.3333333333333333
광주광역,2,0,0,2,0.0
괴산,2,0,0,0,0.0
구리,13,3,1,3,0.25
구미,14,10,1,6,0.55
군산,10,3,1,0,0.4
군포,10,4,2,7,0.35294117647058826
김제,4,0,0,1,0.0
김천,3,2,0,0,0.6666666666666666
김포,22,14,2,8,0.5333333333333333
김해,27,12,0,2,0.41379310344827586
나주,5,1,0,0,0.2
